timestamp_hours,timestamp_minutes,timestamp_seconds,latitude,longitude,pressure[hPa],temperature[degC],humidity[percent],altitude,heading,roll,pitch,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,distance,direction
14,57,29.0,40.14250833333333,139.98822333333334,997.6587075410102,39.484738228755305,43.24596365368513,130.60140654276353,313.125,92.375,-1.75,41.0,19.25,17.1875,0.0033333333333333335,0.006666666666666667,0.0011111111111111111,-9.55,-0.37,0.45,66.32504373945694,292.2569791939123
14,57,30.0,40.14250833333333,139.98822333333334,997.6669135946497,39.48977247925941,43.17525247981748,130.53223468039405,313.1875,92.375,-1.6875,40.5625,18.875,16.75,0.005555555555555556,0.005555555555555556,0.0044444444444444444,-9.63,-0.24,0.37,66.32504373945694,292.2569791939123
14,57,31.0,40.14250833333333,139.98822333333334,997.6669135946497,39.48977247925941,43.06095772532804,130.53223468039405,313.3125,92.375,-1.625,40.1875,18.5,18.5,-0.006666666666666667,0.0044444444444444444,-0.0011111111111111111,-9.61,-0.3,0.44,66.32504373945694,292.2569791939123
14,57,32.0,40.14250833333333,139.98822333333334,997.6997380530182,39.50990948418621,43.28970841275877,130.25554978278208,313.375,92.3125,-1.5625,40.5625,19.25,17.5625,-0.0044444444444444444,-0.0033333333333333335,-0.017777777777777778,-9.62,-0.36,0.33,66.32504373945694,292.2569791939123
14,57,33.0,40.14250833333333,139.98822333333334,997.7109343846861,39.499840981140736,43.295068374150475,130.16117501786528,313.5,92.3125,-1.5,40.1875,18.875,16.25,0.0044444444444444444,-0.006666666666666667,-0.0,-9.62,-0.21,0.46,66.32504373945694,292.2569791939123
14,57,34.0,40.14250833333333,139.98822333333334,997.6751196726726,39.49480673005455,43.099095593081714,130.46306307319543,313.5625,92.375,-1.4375,41.375,19.25,17.5625,-0.07666666666666666,0.04888888888888889,0.03333333333333333,-9.6,-0.59,0.05,66.32504373945694,292.2569791939123
14,57,35.0,40.14250833333333,139.98822333333334,997.6393054543645,39.48977247925941,42.76159616007439,130.7649557422572,313.4375,92.375,-1.5,41.0,19.25,17.1875,0.022222222222222223,-0.0011111111111111111,0.028888888888888888,-9.19,0.32,-0.01,66.32504373945694,292.2569791939123
14,57,36.0,40.14250833333333,139.98822333333334,997.6557171873793,39.499840981140736,42.81065647971886,130.62661345447964,313.5,92.4375,-1.4375,40.5625,19.25,17.1875,0.014444444444444444,-0.006666666666666667,-0.013333333333333334,-10.27,0.34,0.6,66.32504373945694,292.2569791939123
14,57,37.0,40.14250833333333,139.98822333333334,997.6005000777237,39.499840981140736,42.821542896270046,131.09207201198902,313.6875,92.5,-1.375,40.1875,19.25,17.1875,0.006666666666666667,0.0,0.02666666666666667,-11.08,-1.16,0.84,66.32504373945694,292.2569791939123
14,57,38.0,40.14250833333333,139.98822333333334,997.6251165178402,39.514943736145504,42.84342474750738,130.8845625086475,313.625,92.5625,-1.4375,40.5625,19.5625,16.6875,-0.005555555555555556,0.011111111111111112,-0.022222222222222223,-10.27,-0.27,0.62,66.32504373945694,292.2569791939123
14,57,39.0,40.14250833333333,139.98822333333334,997.6169110134277,39.50990948418621,42.854274932307774,130.95373208787623,313.6875,92.625,-1.375,40.5625,19.25,17.1875,-0.005555555555555556,-0.0011111111111111111,-0.006666666666666667,-9.61,-0.75,0.56,66.32504373945694,292.2569791939123
14,57,40.0,40.14250833333333,139.98822333333334,997.5810967877243,39.50487523251795,43.071959758730856,131.25563908276365,313.75,92.625,-1.375,41.375,19.6875,16.6875,-0.03333333333333333,0.006666666666666667,-0.028888888888888888,-10.5,-0.8,0.73,66.32504373945694,292.2569791939123
14,57,41.0,40.14250833333333,139.98822333333334,997.589302044058,39.50990948418621,43.0066829768287,131.18646958403434,313.8125,92.6875,-1.3125,40.5625,19.25,16.6875,0.0044444444444444444,-0.017777777777777778,0.015555555555555555,-10.16,-0.51,0.7,66.32504373945694,292.2569791939123
14,57,42.0,40.14250833333333,139.98822333333334,997.5452830557194,39.499840981140736,43.14811923000074,131.55755069237685,313.875,92.75,-1.25,41.0,19.25,16.6875,-0.03666666666666667,0.011111111111111112,-0.01888888888888889,-10.56,0.11,0.6,66.32504373945694,292.2569791939123
14,57,43.0,40.14250833333333,139.98822333333334,997.5975073247641,39.514943736145504,42.93051712025337,131.11730034053,313.9375,92.75,-1.1875,40.5625,19.25,16.6875,-0.022222222222222223,0.0077777777777777776,-0.015555555555555555,-10.47,-0.83,0.79,66.32504373945694,292.2569791939123
